method,coverage,width,worst_slice,runtime_s,dataset,seed,width_norm,cred_lo,cred_hi,p_meets
MLP-Gaussian,0.908,4.944484452857301,0.8,1.3761574090000297,friedman1,2,0.1811788982263177,,,
Gaussian-Process,0.906,4.898964824629204,0.8,0.8058330069999329,friedman1,2,0.1795109394798254,,,
Bayesian-Ridge,0.888,8.18142800670594,0.79,0.0020050069999797,friedman1,2,0.299789012647483,,,
ACBUQ (ours),0.922,8.229156817990052,0.86,1.944007825999961,friedman1,3,0.3015379216640965,0.90085298175717,0.9396129165909362,0.9561459636610684
CQR,0.908,7.889897022830759,0.85,1.9188398450000927,friedman1,3,0.2891065516222862,,,
Split-Conformal,0.908,5.157316426920818,0.81,1.5929651630000308,friedman1,3,0.1889776208102014,,,
Deep-Ensemble,0.54,1.9900784501250937,0.41,7.0391574420000325,friedman1,3,0.0729217018306616,,,
MLP-Gaussian,0.902,5.045072965393772,0.8,1.5683981739999808,friedman1,3,0.1848647255454936,,,
Gaussian-Process,0.906,4.80114569416204,0.84,0.8382269239999687,friedman1,3,0.1759265895941147,,,
Bayesian-Ridge,0.878,8.250698882143784,0.73,0.0021859639999775,friedman1,3,0.3023272794800845,,,
ACBUQ (ours),0.928,8.89485243332865,0.87,1.9322671659999744,friedman1,4,0.325930757619206,0.907278116371006,0.944701211327792,0.9855571657731664
CQR,0.916,8.503207698784474,0.86,1.8577587759999687,friedman1,4,0.3115798657967335,,,
Split-Conformal,0.908,5.017346246049061,0.86,1.2874950440000248,friedman1,4,0.1838487457178288,,,
Deep-Ensemble,0.542,1.9313464497015151,0.42,6.172934484000052,friedman1,4,0.0707696070614643,,,
MLP-Gaussian,0.898,4.899164938590696,0.83,1.340434074999962,friedman1,4,0.1795182721810218,,,
Gaussian-Process,0.89,4.573314244292753,0.79,0.8085811299999932,friedman1,4,0.167578246816989,,,
Bayesian-Ridge,0.904,8.330392765856521,0.8,0.0020027720000825,friedman1,4,0.3052474727144076,,,
ACBUQ (ours),0.902,8.988497353137273,0.83,1.8769182610000144,friedman1,5,0.3293621534618229,0.8796441827473855,0.9224438171118048,0.5737779978329995
CQR,0.888,8.603693376161768,0.8,1.829804091000028,friedman1,5,0.315261924965556,,,
Split-Conformal,0.902,4.7732280759239245,0.82,1.1916204609999568,friedman1,5,0.1749036147295539,,,
Deep-Ensemble,0.504,1.841850665675196,0.37,6.126110006999966,friedman1,5,0.0674902464526108,,,
MLP-Gaussian,0.886,4.67897046330114,0.78,1.2216662499999984,friedman1,5,0.1714497682128417,,,
Gaussian-Process,0.918,4.821679815239586,0.82,0.8843145890000415,friedman1,5,0.1766790137281871,,,
Bayesian-Ridge,0.9,8.297444837607893,0.79,0.0024610029998939,friedman1,5,0.3040401740777466,,,
ACBUQ (ours),0.904,7.903966243192641,0.86,1.9604515179999,friedman1,6,0.2896220848125253,0.8817523155318603,0.9241734637172022,0.6307581064512577
CQR,0.878,7.461346223937471,0.82,1.9420368019999612,friedman1,6,0.2734033246594377,,,
Split-Conformal,0.886,4.614592383873474,0.79,1.5008885150000424,friedman1,6,0.1690907862781547,,,
Deep-Ensemble,0.596,1.9958397724414605,0.5,6.431020971000066,friedman1,6,0.0731328118138274,,,
MLP-Gaussian,0.896,4.697631012041548,0.79,1.5596063640000466,friedman1,6,0.1721335397350945,,,
Gaussian-Process,0.918,4.775279728507824,0.85,0.8399035730000151,friedman1,6,0.1749787926693853,,,
Bayesian-Ridge,0.914,8.333083628983772,0.83,0.0021694340000522,friedman1,6,0.3053460730075871,,,
ACBUQ (ours),0.956,9.234024335642491,0.93,1.8691697839999504,friedman1,7,0.3383589070362874,0.9377973324719456,0.967912115073294,0.9999977573525706
CQR,0.932,8.621803438500526,0.89,1.8763873119999064,friedman1,7,0.3159255252200679,,,
Split-Conformal,0.908,4.995323094759357,0.8,1.7623232490000191,friedman1,7,0.1830417596054881,,,
Deep-Ensemble,0.606,2.110954750054586,0.51,7.235998614999971,friedman1,7,0.0773509269706545,,,
MLP-Gaussian,0.92,5.146607874288876,0.81,1.899936677000028,friedman1,7,0.1885852313131867,,,
Gaussian-Process,0.91,4.678026066315104,0.83,0.911237030000052,friedman1,7,0.1714151630265883,,,
Bayesian-Ridge,0.894,8.258547455377851,0.83,0.0020574119999992,friedman1,7,0.3026148718195396,,,
ACBUQ (ours),0.86,6.978145467106116,0.76,1.898101108999981,friedman1,8,0.255697579686524,0.8358798240336098,0.8856151128005395,0.003003923871107
CQR,0.854,6.767960533733354,0.76,1.891019005999965,friedman1,8,0.2479958516266364,,,
Split-Conformal,0.884,5.118284067769587,0.72,1.0233259999999973,friedman1,8,0.1875473726430528,,,
Deep-Ensemble,0.568,2.1006779020913555,0.41,6.129413279999994,friedman1,8,0.0769743562666771,,,
MLP-Gaussian,0.898,5.349154649165708,0.75,1.027840552999919,friedman1,8,0.1960070771823292,,,
Gaussian-Process,0.898,4.88132654207459,0.71,0.8270111089999546,friedman1,8,0.1788646264758473,,,
Bayesian-Ridge,0.882,8.215872930537081,0.74,0.0020047710000881,friedman1,8,0.3010511651345051,,,
ACBUQ (ours),0.922,7.77018396928936,0.86,1.9743194050000736,friedman1,9,0.2847199508854986,0.90085298175717,0.9396129165909362,0.9561459636610684
CQR,0.894,7.395045053256059,0.83,1.921033436000016,friedman1,9,0.2709738756097533,,,
Split-Conformal,0.876,4.986897333988572,0.72,1.2242184660000248,friedman1,9,0.1827330175985662,,,
Deep-Ensemble,0.536,1.843985590100911,0.38,6.844854721000047,friedman1,9,0.0675684756914597,,,
MLP-Gaussian,0.888,5.239591001719922,0.74,1.2262765179999633,friedman1,9,0.1919923773447328,,,
Gaussian-Process,0.84,4.139173085677301,0.77,0.9415086469999778,friedman1,9,0.1516701743895005,,,
Bayesian-Ridge,0.908,8.530066585833813,0.79,0.0020821309999519,friedman1,9,0.3125640459695263,,,
ACBUQ (ours),0.97,63.958243925577456,0.9,0.8392993800000568,degradation,0,0.4054176172482361,0.9247335438915854,0.9833004893631772,0.9939476533676432
CQR,0.93,45.4053956422211,0.7,0.8397210759999325,degradation,0,0.2878150834300993,,,
Split-Conformal,0.91,100.33202367778443,0.7,0.1003368610000734,degradation,0,0.6359832208725503,,,
Deep-Ensemble,0.63,32.22686612592946,0.4,1.957565271000021,degradation,0,0.2042792058417863,,,
MLP-Gaussian,0.87,82.30751224028056,0.6,0.1052583540000569,degradation,0,0.5217297012237082,,,
Gaussian-Process,0.95,63.992734937583776,0.85,0.0658506370000395,degradation,0,0.4056362483901473,,,
Bayesian-Ridge,0.93,71.49668255998847,0.85,0.0018654350000133,degradation,0,0.4532021660624782,,,
ACBUQ (ours),0.94,75.54266849612326,0.7,0.9311673259999224,degradation,1,0.4788488048219215,0.8923546368102903,0.9661117335648952,0.917398525496343
CQR,0.91,49.66414756028263,0.7,0.9115351069999632,degradation,1,0.3148104002039764,,,
Split-Conformal,0.93,61.34768400428111,0.7,0.5371082000000342,degradation,1,0.3888698367274445,,,
Deep-Ensemble,0.49,15.690002627586209,0.2,2.4861850940000068,degradation,1,0.099455568031172,,,
MLP-Gaussian,0.94,65.74287178947772,0.7,0.5387211069999012,degradation,1,0.4167299912574279,,,
Gaussian-Process,0.92,41.95449657835894,0.6,0.0615958330000694,degradation,1,0.265940572968819,,,
Bayesian-Ridge,0.91,57.89599670650152,0.6,0.0018710119999241,degradation,1,0.3669903298200921,,,
ACBUQ (ours),0.91,45.34188632143551,0.75,0.8764532659999986,degradation,2,0.2874125114405383,0.8616296230426888,0.9472941166897442,0.6529645549627736
CQR,0.85,37.39618589250403,0.75,0.8582392490000075,degradation,2,0.2370464172898912,,,
Split-Conformal,0.9,81.41729398588566,0.7,0.1062503059999926,degradation,2,0.516086798270531,,,
Deep-Ensemble,0.77,28.567392727390555,0.4,3.2506644700000606,degradation,2,0.1810825873207196,,,
MLP-Gaussian,0.89,75.70236088469588,0.7,0.1006713790000048,degradation,2,0.4798610606890952,,,
Gaussian-Process,0.96,55.83368776841475,0.8,0.0732310790000383,degradation,2,0.3539177949224522,,,
Bayesian-Ridge,0.95,73.82147152840024,0.75,0.0018253700000059,degradation,2,0.467938505685486,,,
ACBUQ (ours),0.9,49.245177245172655,0.65,0.9000551620000579,degradation,3,0.3121546370618977,0.8516351471378127,0.9407765928022486,0.5324194884812685
CQR,0.89,45.287185514678015,0.65,0.9021129089999248,degradation,3,0.2870657747358379,,,
Split-Conformal,0.86,59.42621159440196,0.6,0.2048217400000567,degradation,3,0.3766900344344378,,,
Deep-Ensemble,0.51,24.68177242628807,0.25,1.0626582759999792,degradation,3,0.1564524719936419,,,
MLP-Gaussian,0.89,60.8904788758359,0.7,0.1872163650000402,degradation,3,0.3859717112882343,,,
Gaussian-Process,0.91,48.61952204445482,0.65,0.0653852620000634,degradation,3,0.3081887426732221,,,
Bayesian-Ridge,0.93,64.89462407417693,0.75,0.0019185649999826,degradation,3,0.4113531305672929,,,
ACBUQ (ours),0.88,47.71194769681169,0.65,0.9043990110000096,degradation,4,0.3024358231602154,0.8319343093530692,0.927455283797368,0.3016323526534263
CQR,0.87,44.24717846271685,0.65,0.9391620540000076,degradation,4,0.2804733926588991,,,
Split-Conformal,0.87,46.12289826435517,0.5,0.8245399799999404,degradation,4,0.292363178962138,,,
Deep-Ensemble,0.66,23.249452612384164,0.35,3.181175273000008,degradation,4,0.1473733032977963,,,
MLP-Gaussian,0.87,47.45009070727145,0.5,0.7700801849999834,degradation,4,0.3007759677570131,,,
Gaussian-Process,0.87,50.87569243725696,0.5,0.065674653999963,degradation,4,0.3224901238340339,,,
Bayesian-Ridge,0.88,70.44846020139818,0.45,0.0018610270000181,degradation,4,0.446557708915398,,,
ACBUQ (ours),0.98,58.21844955233828,0.9,0.87787602100002,degradation,5,0.3690342893851197,0.9361344336057256,0.9884384424596884,0.99829025672192
CQR,0.93,44.72594132047854,0.8,0.8709471869999561,degradation,5,0.2835081679295672,,,
Split-Conformal,0.96,63.179378018958914,0.85,0.2540515289999803,degradation,5,0.4004805529913656,,,
Deep-Ensemble,0.57,16.167242025391225,0.35,2.8251786190000985,degradation,5,0.1024806864152888,,,
MLP-Gaussian,0.96,63.44689210654873,0.85,0.2514512779999904,degradation,5,0.4021762675281374,,,
Gaussian-Process,0.97,59.48651903235565,0.85,0.0669512039999062,degradation,5,0.3770723103741272,,,
Bayesian-Ridge,0.97,74.99044293394687,0.85,0.0017647109999643,degradation,5,0.4753483651935034,,,
ACBUQ (ours),0.9,42.7590328678163,0.75,0.8654243009999618,degradation,6,0.2710403562874648,0.8516351471378127,0.9407765928022486,0.5324194884812685
CQR,0.89,39.13925284764102,0.75,0.8497229309999739,degradation,6,0.2480953455950221,,,
